ProjectName,Address,Zipcode,TotalUnits,TotalAffordableUnits,UnitType,HousingType,Status,1PersonHousehold,2PersonHousehold,3PersonHousehold,4PersonHousehold,5PersonHousehold,PropertyManagementCompany,Phone,Website,Longitude,Latitude,Location
M Station,2906 E Martin Luther King Jr Boulevard,78722,150,140,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Foundation Communities,512-474-6767,http://foundcom.org/housing/our-austin-communities/m-station-apartments/,-97.70841372,30.28200722,"(30.2820072186666, -97.7084137218687)"
"Garden Terrace Expansion (aka Garden Terrace, Phase II)",1015 W William Cannon Drive,78745,15,15,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-8300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.79342653,30.19864089,"(30.1986408937312, -97.7934265318501)"
"Garden Terrace Expansion (aka Garden Terrace, Phase II)",1015 W William Cannon Drive,78745,15,15,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-416-5300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.79342653,30.19864089,"(30.1986408937312, -97.7934265318501)"
LifeWorks Transitional Living Project,3710 S 2nd Street,78704,12,12,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,Lifeworks,512-735-2100,http://www.lifeworksaustin.org/housing/,-97.77101974,30.22983682,"(30.2298368209301, -97.7710197443868)"
Cornerstone,1322 Lamar Square Drive,78704,30,30,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Mary Lee Foundation,512-443-5777,http://www.maryleefoundation.org/programs-and-services/affordable-housing/,-97.76422389,30.25530621,"(30.2553062066707, -97.7642238885743)"
The Willows,1330 Lamar Square Drive,78704,64,64,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Mary Lee Foundation,512-443-5777,http://www.maryleefoundation.org/programs-and-services/affordable-housing/,-97.76503931,30.2544562,"(30.2544562030313, -97.765039314016)"
Arbor Terrace,2501 S IH-35,78741,120,120,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Foundation Communities,512-610-0817,http://foundcom.org/housing/our-austin-communities/arbor-terrace/,-97.7413955,30.23146027,"(30.2314602729335, -97.7413954956676)"
Sierra Vista (fka Shady Oaks),4320 S Congress Avenue,78745,238,238,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Foundation Communities,512-448-4884,http://foundcom.org/housing/our-austin-communities/sierra-vista-apartments/,-97.7671846,30.2190338,"(30.2190337978803, -97.7671845964581)"
Crossroads Apartments,8801 McCann Drive,78757,14,14,Multifamily,Residential Housing,Project Completed,18100,20650,23250,25800,27900,Foundation Communities,512-452-5987,http://foundcom.org/housing/our-austin-communities/crossroads-apartments/,-97.72944801,30.37273049,"(30.3727304927457, -97.7294480083748)"
904 Lydia,904 Lydia Street,78702,1,1,Single Family,Residential Housing,Project Completed,18100,20650,23250,25800,27900,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.7285517,30.26740527,"(30.267405274892, -97.7285517036128)"
303 San Saba Street,303 San Saba Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org,-97.71440878,30.25588549,"(30.2558854868315, -97.7144087756145)"
