OrganizationName,Category,ConnectionStatus,ConnectionColor,LocationName,CouncilDistrict,LocationAddress,LocationCity,LocationState,Zipcode,LocationCounty,FileName,ApplicationDocument,Longitude,Latitude,Location
Austin Film Society,"Arts, Culture, and Community",,,,9,1901 E 51st Street,AUSTIN,TX,78723,Travis,Austin Film Society.pdf,http://www.austintexas.gov/edims/document.cfm?id=205424,-97.69474,30.301511,"(30.301511, -97.69474)"
YMCA of Austin,"Social, Health, & Well-Being (including family services)",,,,4,1000 W. Rundberg Ln,AUSTIN,TX,78758,Travis,YMCA of Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205474,-97.699905,30.364567,"(30.364567, -97.699905)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Eastside Memorial,3,1012 Arthur Stiles Rd,AUSTIN,TX,78721,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.681404,30.256883,"(30.256883, -97.681404)"
Goodwill Industries of Central Texas,"Social, Health, & Well-Being (including family services)",,,,4,1015 Norwood Park Blvd,AUSTIN,TX,78753,Travis,Goodwill Industries of Central Texas.pdf,http://www.austintexas.gov/edims/document.cfm?id=205443,-97.693053,30.339476,"(30.339476, -97.693053)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Akins High,5,10701 S 1st St,AUSTIN,TX,78748,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.802129,30.150747,"(30.150747, -97.802129)"
Austin Public Library,Public (Government) Facilities & Entities,,,Terrazas Library,3,1105 E. Cesar Chavez Street,AUSTIN,TX,78702,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.733214,30.260114,"(30.260114, -97.733214)"
Concordia University Texas,"Education, Workforce, & Higher Education",,,,6,11400 Concordia University Dr.,AUSTIN,TX,78726,Travis,Concordia University.pdf,http://www.austintexas.gov/edims/document.cfm?id=205437,-97.837166,30.42008,"(30.42008, -97.837166)"
Girl Scouts of Central Texas,"Social, Health, & Well-Being (including family services)",,,,4,12012 Park Thirty-five Circle,AUSTIN,TX,78753,Travis,Girl Scouts of Central Texas.pdf,http://www.austintexas.gov/edims/document.cfm?id=205441,-97.67367,30.389938,"(30.389938, -97.67367)"
PARD,Public (Government) Facilities & Entities,,,Gus Garcia Rec Center,4,1201 E Rundberg Ln,AUSTIN,TX,78753,Travis,PARD Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205455,-97.681518,30.354041,"(30.354041, -97.681518)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Lanier,7,1201 Payton Gin Rd,AUSTIN,TX,78758,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.708443,30.361618,"(30.361618, -97.708443)"
CommUnityCare (North Central Facility),Public (Government) Facilities & Entities,,,,7,1210 W. Braker Lane,AUSTIN,TX,78758,Travis,CommUnityCare Health Centers.pdf,http://www.austintexas.gov/edims/document.cfm?id=205436,-97.694254,30.385436,"(30.385436, -97.694254)"
Austin Public Library,Public (Government) Facilities & Entities,,,Milwood Library,7,12500 Amherst Drive,AUSTIN,TX,78727,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.714651,30.423153,"(30.423153, -97.714651)"
Austin Public Library,Public (Government) Facilities & Entities,,,Old Quarry Library,10,7051 Village Center Drive,AUSTIN,TX,78731,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.755706,30.353327,"(30.353327, -97.755706)"
Round Rock ISD,Public (Government) Facilities & Entities,,,Westwood High School,6,12400 Mellow Meadow Dr,AUSTIN,TX,78750,Travis,Round Rock ISD.pdf,http://www.austintexas.gov/edims/document.cfm?id=205459,-97.797026,30.457439,"(30.457439, -97.797026)"
Pflugerville ISD,Public (Government) Facilities & Entities,,,Connally High School,7,13212 N. Lamar Blvd.,AUSTIN,TX,78753,Travis,Pflugerville ISD.pdf,http://www.austintexas.gov/edims/document.cfm?id=205457,-97.675876,30.417194,"(30.417194, -97.675876)"
Girlstart,"Social, Health, & Well-Being (including family services)",,,,7,1400 W Anderson Lane,AUSTIN,TX,78757,Travis,Girlstart.pdf,http://www.austintexas.gov/edims/document.cfm?id=205442,-97.719996,30.350956,"(30.350956, -97.719996)"
Texas Folklife,"Arts, Culture, and Community",,,,7,1708 Houston St,AUSTIN,TX,78756,Travis,Texas Folklife.pdf,http://www.austintexas.gov/edims/document.cfm?id=205466,-97.738547,30.328283,"(30.328283, -97.738547)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Austin High,9,1715 W Cesar Chavez St,AUSTIN,TX,78703,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.766201,30.27417,"(30.27417, -97.766201)"
Austin Public Library,Public (Government) Facilities & Entities,,,Pleasant Hill Library,9,2011 E. William Cannon Drive,AUSTIN,TX,78744,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.765174,30.188312,"(30.188312, -97.765174)"
KLRU,"Arts, Culture, and Community",,,,9,2504 Whitis Avenue Building B,AUSTIN,TX,78705,Travis,KLRU.pdf,http://www.austintexas.gov/edims/document.cfm?id=205447,-97.740318,30.289132,"(30.289132, -97.740318)"
"Pecan Street, Inc.","Social, Health, & Well-Being (including family services)",,,,9,3924 Berkman Drive,AUSTIN,TX,78723,Travis,Pecan Street.pdf,http://www.austintexas.gov/edims/document.cfm?id=205456,-97.699405,30.291898,"(30.291898, -97.699405)"
Mexic-Arte Museum,"Arts, Culture, and Community",,,,9,419 Congress Ave.,AUSTIN,TX,78701,Travis,Mexic-Arte Museum.pdf,http://www.austintexas.gov/edims/document.cfm?id=205452,-97.743194,30.266993,"(30.266993, -97.743194)"
Front Steps,"Social, Health, & Well-Being (including family services)",,,,9,500 East 7th Street,AUSTIN,TX,78701,Travis,Front Steps.pdf,http://www.austintexas.gov/edims/document.cfm?id=205440,-97.737698,30.267644,"(30.267644, -97.737698)"
Ballet Austin,"Arts, Culture, and Community",,,,9,501 W. 3rd St.,AUSTIN,TX,78701,Travis,Ballet Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205429,-97.74895,30.266715,"(30.266715, -97.74895)"
BIG Austin,"Education, Workforce, & Higher Education",,,,4,5407 North IH-35 Suite 200,AUSTIN,TX,78723,Travis,Big Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205430,-97.707908,30.313669,"(30.313669, -97.707908)"
Creative Action,"Arts, Culture, and Community",,,,1,"1800 Alexander Ave., Unit B",AUSTIN,TX,78702,Travis,Creative Action.pdf,http://www.austintexas.gov/edims/document.cfm?id=205438,-97.709721,30.279328,"(30.279328, -97.709721)"
Austin Public Library,Public (Government) Facilities & Entities,,,Spicewoods Springs Branch,6,8637 Spicewood Springs Road,AUSTIN,TX,78759,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.772811,30.43328,"(30.43328, -97.772811)"
Austin Children's Museum,"Arts, Culture, and Community",,,,9,1830 Simond Avenue,AUSTIN,TX,78723,Travis,Austin Children's Museum.pdf,http://www.austintexas.gov/edims/document.cfm?id=205421,-97.705113,30.297311,"(30.297311, -97.705113)"
Skillpoint Alliance,"Education, Workforce, & Higher Education",,,,9,201 E. 2nd Street,AUSTIN,TX,78701,Travis,SkillpointAlliance.pdf,http://www.austintexas.gov/edims/document.cfm?id=205460,-97.742342,30.2638,"(30.2638, -97.742342)"
PARD,Public (Government) Facilities & Entities,,,Cantu/Pan American,3,2100 E 3rd St,AUSTIN,TX,78702,Travis,PARD Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205455,-97.72081,30.257841,"(30.257841, -97.72081)"
ZACH Theater,"Arts, Culture, and Community",Active,1,,5,1510 Toomey Rd,AUSTIN,TX,78704,Travis,ZACH Theatre.pdf,http://www.austintexas.gov/edims/document.cfm?id=205476,-97.759489,30.263862,"(30.263862, -97.759489)"
Austin Public Library,Public (Government) Facilities & Entities,,,Yarborough Branch,7,2200 Hancock Drive,AUSTIN,TX,78756,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.74095,30.323061,"(30.323061, -97.74095)"
Austin Public Library,Public (Government) Facilities & Entities,,,Howson Library,10,2500 Exposition Blvd.,AUSTIN,TX,78703,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.767328,30.298115,"(30.298115, -97.767328)"
Austin Public Library,Public (Government) Facilities & Entities,,,North Village Center,7,2505 Steck Avenue,AUSTIN,TX,78757,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.729717,30.362014,"(30.362014, -97.729717)"
Central Health,Public (Government) Facilities & Entities,Not Active,,Southeast Health & Wellness Ctr,3,2901 Montopolis Drive,AUSTIN,TX,78741,Travis,Central Health.pdf,http://www.austintexas.gov/edims/document.cfm?id=205433,-97.710617,30.214674,"(30.214674, -97.710617)"
Austin Public Library,Public (Government) Facilities & Entities,,,Willie Mae Kirk Library,3,3101 Oak Spring Drive,AUSTIN,TX,78702,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.699963,30.273237,"(30.273237, -97.699963)"
Meals on Wheels and More,"Social, Health, & Well-Being (including family services)",,,,3,3227 E. 5th St,AUSTIN,TX,78702,Travis,MealsonWheelsandMore.pdf,http://www.austintexas.gov/edims/document.cfm?id=205451,-97.706247,30.254936,"(30.254936, -97.706247)"
AGE of Central Texas,"Social, Health, & Well-Being (including family services)",,,,9,3701 Cedar Street,AUSTIN,TX,78705,Travis,AGE of Central Texas.pdf,http://www.austintexas.gov/edims/document.cfm?id=205418,-97.735332,30.299999,"(30.299999, -97.735332)"
The Contemporary Austin,"Arts, Culture, and Community",,,,10,3809 35th St,AUSTIN,TX,78703,Travis,The Contemporary Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205469,-97.77415,30.312648,"(30.312648, -97.77415)"
Capital Metro,Public (Government) Facilities & Entities,,,,9,5010 Old Manor Road,AUSTIN,TX,78723,Travis,Capital Metro.pdf,http://www.austintexas.gov/edims/document.cfm?id=205432,-97.69082,30.298858,"(30.298858, -97.69082)"
"Texas Educational Broadcasting Co-Operative, Inc","Social, Health, & Well-Being (including family services)",,,KOOP,9,3823 Airport Blvd Suite B,AUSTIN,TX,78722,Travis,Texas Educational Broadcasting Co-Operative.pdf,http://www.austintexas.gov/edims/document.cfm?id=205465,-97.707031,30.288531,"(30.288531, -97.707031)"
Southwest Educational Development Corporation,"Education, Workforce, & Higher Education",,,,9,4700 Mueller Blvd,AUSTIN,TX,78723,Travis,SEDL.pdf,http://www.austintexas.gov/edims/document.cfm?id=205461,-97.706135,30.300685,"(30.300685, -97.706135)"
Austin Public Library,Public (Government) Facilities & Entities,,,University Hills Branch,1,4721 Loyola Lane,AUSTIN,TX,78723,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.666211,30.308952,"(30.308952, -97.666211)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Crockett,5,5601 Manchaca Rd,AUSTIN,TX,78745,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.797771,30.215236,"(30.215236, -97.797771)"
