Organization Name,Category,Connection Status,Connection Color,Location Name,Council District,Location Address,Location City,Location State,Zipcode,Location County,File Name,Application Document,Location
Austin Film Society,"Arts, Culture, and Community",,,,9,1901 E 51st Street,AUSTIN,TX,78723,Travis,Austin Film Society.pdf,http://www.austintexas.gov/edims/document.cfm?id=205424,"1901 E 51st Street
AUSTIN, TX 78723
(30.301511, -97.69474)"
YMCA of Austin,"Social, Health, & Well-Being (including family services)",,,,4,1000 W. Rundberg Ln,AUSTIN,TX,78758,Travis,YMCA of Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205474,"1000 W. Rundberg Ln
AUSTIN, TX 78758
(30.364567, -97.699905)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Eastside Memorial,3,1012 Arthur Stiles Rd,AUSTIN,TX,78721,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"1012 Arthur Stiles Rd
AUSTIN, TX 78721
(30.256883, -97.681404)"
Goodwill Industries of Central Texas,"Social, Health, & Well-Being (including family services)",,,,4,1015 Norwood Park Blvd,AUSTIN,TX,78753,Travis,Goodwill Industries of Central Texas.pdf,http://www.austintexas.gov/edims/document.cfm?id=205443,"1015 Norwood Park Blvd
AUSTIN, TX 78753
(30.339476, -97.693053)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Akins High,5,10701 S 1st St,AUSTIN,TX,78748,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"10701 S 1st St
AUSTIN, TX 78748
(30.150747, -97.802129)"
Austin Public Library,Public (Government) Facilities & Entities,,,Terrazas Library,3,1105 E. Cesar Chavez Street,AUSTIN,TX,78702,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"1105 E. Cesar Chavez Street
AUSTIN, TX 78702
(30.260114, -97.733214)"
Concordia University Texas,"Education, Workforce, & Higher Education",,,,6,11400 Concordia University Dr.,AUSTIN,TX,78726,Travis,Concordia University.pdf,http://www.austintexas.gov/edims/document.cfm?id=205437,"11400 Concordia University Dr.
AUSTIN, TX 78726
(30.42008, -97.837166)"
Girl Scouts of Central Texas,"Social, Health, & Well-Being (including family services)",,,,4,12012 Park Thirty-five Circle,AUSTIN,TX,78753,Travis,Girl Scouts of Central Texas.pdf,http://www.austintexas.gov/edims/document.cfm?id=205441,"12012 Park Thirty-five Circle
AUSTIN, TX 78753
(30.389938, -97.67367)"
PARD,Public (Government) Facilities & Entities,,,Gus Garcia Rec Center,4,1201 E Rundberg Ln,AUSTIN,TX,78753,Travis,PARD Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205455,"1201 E Rundberg Ln
AUSTIN, TX 78753
(30.354041, -97.681518)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Lanier,7,1201 Payton Gin Rd,AUSTIN,TX,78758,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"1201 Payton Gin Rd
AUSTIN, TX 78758
(30.361618, -97.708443)"
CommUnityCare (North Central Facility),Public (Government) Facilities & Entities,,,,7,1210 W. Braker Lane,AUSTIN,TX,78758,Travis,CommUnityCare Health Centers.pdf,http://www.austintexas.gov/edims/document.cfm?id=205436,"1210 W. Braker Lane
AUSTIN, TX 78758
(30.385436, -97.694254)"
Austin Public Library,Public (Government) Facilities & Entities,,,Milwood Library,7,12500 Amherst Drive,AUSTIN,TX,78727,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"12500 Amherst Drive
AUSTIN, TX 78727
(30.423153, -97.714651)"
Austin Public Library,Public (Government) Facilities & Entities,,,Old Quarry Library,10,7051 Village Center Drive,AUSTIN,TX,78731,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"7051 Village Center Drive
AUSTIN, TX 78731
(30.353327, -97.755706)"
Round Rock ISD,Public (Government) Facilities & Entities,,,Westwood High School,6,12400 Mellow Meadow Dr,AUSTIN,TX,78750,Travis,Round Rock ISD.pdf,http://www.austintexas.gov/edims/document.cfm?id=205459,"12400 Mellow Meadow Dr
AUSTIN, TX 78750
(30.457439, -97.797026)"
Pflugerville ISD,Public (Government) Facilities & Entities,,,Connally High School,7,13212 N. Lamar Blvd.,AUSTIN,TX,78753,Travis,Pflugerville ISD.pdf,http://www.austintexas.gov/edims/document.cfm?id=205457,"13212 N. Lamar Blvd.
AUSTIN, TX 78753
(30.417194, -97.675876)"
Girlstart,"Social, Health, & Well-Being (including family services)",,,,7,1400 W Anderson Lane,AUSTIN,TX,78757,Travis,Girlstart.pdf,http://www.austintexas.gov/edims/document.cfm?id=205442,"1400 W Anderson Lane
AUSTIN, TX 78757
(30.350956, -97.719996)"
Texas Folklife,"Arts, Culture, and Community",,,,7,1708 Houston St,AUSTIN,TX,78756,Travis,Texas Folklife.pdf,http://www.austintexas.gov/edims/document.cfm?id=205466,"1708 Houston St
AUSTIN, TX 78756
(30.328283, -97.738547)"
Austin Independent School District,Public (Government) Facilities & Entities,,,Austin High,9,1715 W Cesar Chavez St,AUSTIN,TX,78703,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,"1715 W Cesar Chavez St
AUSTIN, TX 78703
(30.27417, -97.766201)"
Austin Public Library,Public (Government) Facilities & Entities,,,Pleasant Hill Library,9,2011 E. William Cannon Drive,AUSTIN,TX,78744,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,"2011 E. William Cannon Drive
AUSTIN, TX 78744
(30.188312, -97.765174)"
KLRU,"Arts, Culture, and Community",,,,9,2504 Whitis Avenue Building B,AUSTIN,TX,78705,Travis,KLRU.pdf,http://www.austintexas.gov/edims/document.cfm?id=205447,"2504 Whitis Avenue Building B
AUSTIN, TX 78705
(30.289132, -97.740318)"
"Pecan Street, Inc.","Social, Health, & Well-Being (including family services)",,,,9,3924 Berkman Drive,AUSTIN,TX,78723,Travis,Pecan Street.pdf,http://www.austintexas.gov/edims/document.cfm?id=205456,"3924 Berkman Drive
AUSTIN, TX 78723
(30.291898, -97.699405)"
Mexic-Arte Museum,"Arts, Culture, and Community",,,,9,419 Congress Ave.,AUSTIN,TX,78701,Travis,Mexic-Arte Museum.pdf,http://www.austintexas.gov/edims/document.cfm?id=205452,"419 Congress Ave.
AUSTIN, TX 78701
(30.266993, -97.743194)"
Front Steps,"Social, Health, & Well-Being (including family services)",,,,9,500 East 7th Street,AUSTIN,TX,78701,Travis,Front Steps.pdf,http://www.austintexas.gov/edims/document.cfm?id=205440,"500 East 7th Street
AUSTIN, TX 78701
(30.267644, -97.737698)"
Ballet Austin,"Arts, Culture, and Community",,,,9,501 W. 3rd St.,AUSTIN,TX,78701,Travis,Ballet Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205429,"501 W. 3rd St.
AUSTIN, TX 78701
(30.266715, -97.74895)"
BIG Austin,"Education, Workforce, & Higher Education",,,,4,5407 North IH-35 Suite 200,AUSTIN,TX,78723,Travis,Big Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205430,"5407 North IH-35 Suite 200
AUSTIN, TX 78723
(30.313669, -97.707908)"
