SchoolType,District,School,StreetAddress,Zipcode,2016ClassSize,2016Graduated,2016Rate,2015ClassSize,2015Graduated,2015Rate,2014ClassSize,2014Graduated,2014Rate,2013ClassSize,2013Graduated,2013Rate,2012ClassSize,2012Graduated,2012Rate,Longitude,Latitude,Location
Public HS,Austin ISD,Akins High School,"10701 S 1st St, Austin, TX 78748",78748,656,506,0.77,641,517,0.81,648,473,0.73,690,486,0.7,718,540,0.75,-97.8011734,30.148182,"(30.148182, -97.8011734)"
Public HS,Austin ISD,Anderson High School,"8403 Mesa Dr., Austin, TX 78759",78759,610,537,0.88,514,452,0.88,586,508,0.87,494,414,0.84,531,439,0.83,-97.7524461,30.3749141,"(30.3749141, -97.7524461)"
Public HS,Austin ISD,Austin HS,"1715 West Cesar Chavez, Austin, TX 78703",78703,530,447,0.84,552,463,0.84,537,444,0.83,571,471,0.82,610,509,0.83,-97.7501906,30.2649864,"(30.2649864, -97.7501906)"
Public HS,Austin ISD,Bowie HS,"4103 W Slaughter Ln, Austin, TX 78749",78749,742,655,0.88,712,627,0.88,724,635,0.88,743,639,0.86,769,640,0.83,-97.8585698,30.1881338,"(30.1881338, -97.8585698)"
Public HS,Austin ISD,Crockett Early College HS,"5601 Manchaca Rd, Austin, TX 78745",78745,403,332,0.82,356,281,0.79,385,290,0.75,420,300,0.71,420,287,0.68,-97.7954551,30.2185178,"(30.2185178, -97.7954551)"
Public HS,Austin ISD,Eastside Memorial Early College HS,"1012 Arthur Stiles Rd, Austin, TX 78721",78721,136,106,0.78,130,100,0.77,117,101,0.86,169,133,0.79,143,90,0.63,-97.6810863,30.2587426,"(30.2587426, -97.6810863)"
Public HS,Austin ISD,Lanier Early College HS,"1201 Payton Gin Rd, Austin, TX 78758",78758,388,292,0.75,397,288,0.73,405,271,0.67,447,307,0.69,456,303,0.66,-97.7072974,30.3596407,"(30.3596407, -97.7072974)"
Public HS,Austin ISD,LBJ Early College HS,"7309 Lazy Creek Dr, Austin, TX 78724",78724,175,152,0.87,185,146,0.79,203,160,0.79,228,175,0.77,240,170,0.71,-97.6557394,30.3120113,"(30.3120113, -97.6557394)"
Public HS,Austin ISD,Liberal Arts and Sciences Academy (LASA HS),"7309 Lazy Creek Dr, Austin, TX 78724",78724,259,251,0.97,239,232,0.97,211,204,0.97,233,224,0.96,201,194,0.97,-97.6557394,30.3120113,"(30.3120113, -97.6557394)"
Public HS,Austin ISD,McCallum HS,"5600 Sunshine Dr, Austin, TX 78756",78756,416,358,0.86,390,337,0.86,460,362,0.79,451,357,0.79,460,362,0.79,-97.7299407,30.3273347,"(30.3273347, -97.7299407)"
Public HS,Austin ISD,Reagan Early College HS,"7104 Berkman Dr, Austin, TX 78752",78752,321,243,0.76,289,182,0.63,274,158,0.58,239,152,0.64,238,124,0.52,-97.6915595,30.3240355,"(30.3240355, -97.6915595)"
Public HS,Austin ISD,Rosedale School (Special Ed),"2117 W 49th St, Austin, TX 78756",78756,27,0,0,42,0,0,33,0,0,30,0,0,24,0,0,-97.7403218,30.319759,"(30.319759, -97.7403218)"
Public HS,Austin ISD,Travis Early College HS,"1301-1399 E Oltorf St, Austin, TX 78704",78704,286,199,0.7,344,247,0.72,339,236,0.7,342,235,0.69,365,228,0.62,-97.741796,30.233894,"(30.233894, -97.741796)"
Public HS,Eanes ISD,Westlake High School,"4100 Westbank Dr, Austin, TX 78746",78746,678,595,0.88,675,585,0.87,715,633,0.89,690,589,0.85,704,621,0.88,-97.8157521,30.2764768,"(30.2764768, -97.8157521)"
Public HS,Leander ISD,Vandegrift High School,"9500 McNeil Dr, Austin, TX 78750",78750,548,468,0.85,497,417,0.84,447,377,0.84,,,,,,,-97.7684679,30.4347094,"(30.4347094, -97.7684679)"
Public HS,Pflugerville ISD,Connally HS,"13212 N Lamar Blvd, Austin, TX 78753",78753,518,414,0.8,556,440,0.79,540,435,0.81,176,142,0.81,534,389,0.73,-97.675945,30.417652,"(30.417652, -97.675945)"
Public HS,Round Rock ISD,McNeil HS,"5720 McNeil Dr, Austin, TX 78729",78729,641,536,0.84,562,497,0.88,612,515,0.84,637,540,0.85,757,637,0.84,-97.7630761,30.4365238,"(30.4365238, -97.7630761)"
Public HS,Round Rock ISD,Westwood HS,"12400 Mellow Meadow Dr, Austin, TX 78750",78750,702,628,0.89,652,592,0.91,628,566,0.9,646,577,0.89,648,582,0.9,-97.79735,30.458559,"(30.458559, -97.79735)"
Charter HS,,Chaparral Star Academy,"14046 Summit Dr, Austin, TX 78728",78728,26,15,0.58,30,29,0.97,30,20,0.67,27,19,0.7,22,14,0.64,-97.689701,30.438009,"(30.438009, -97.689701)"
Charter HS,KIPP Austin,KIPP Austin Collegiate,"8004 Cameron Rd, Austin, TX 78754",78754,98,86,0.88,94,83,0.88,81,70,0.86,125,119,0.95,131,129,0.98,-97.6862991,30.3359225,"(30.3359225, -97.6862991)"
Charter HS,Harmony Public Schools,Harmony School of Excellence - Austin,"2100 E St Elmo Rd, Austin, TX 78744",78744,40,39,0.98,,,,,,,,,,,,,-97.746351,30.210069,"(30.210069, -97.746351)"
Charter HS,Harmony Public Schools,Harmony Science Academy - Austin,"930 E Rundberg Ln, Austin, TX 78753",78753,108,88,0.81,109,92,0.84,76,64,0.84,,,,,,,-97.6848505,30.3572875,"(30.3572875, -97.6848505)"
Charter HS,,NYOS Charter School,"12301 N Lamar Blvd A, Austin, TX 78753",78753,56,50,0.89,56,56,1,29,29,1,26,24,0.92,32,29,0.91,-97.678845,30.402227,"(30.402227,-97.678845)"
