Zipcode,SiteName,SiteType,Longitude,Latitude
78722,Foundation Communities,Multifamily,-97.70841372,30.28200722
78745,Foundation Communities,Multifamily,-97.79342653,30.19864089
78704,Lifeworks,Multifamily,-97.77101974,30.22983682
78704,Mary Lee Foundation,Multifamily,-97.76422389,30.25530621
78704,Mary Lee Foundation,Multifamily,-97.76503931,30.254456199999996
78741,Foundation Communities,Multifamily,-97.7413955,30.23146027
78745,Foundation Communities,Multifamily,-97.7671846,30.2190338
78757,Foundation Communities,Multifamily,-97.72944801,30.37273049
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.7285517,30.26740527
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.71440878,30.25588549
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.72775965,30.26797186
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.73115103,30.26721606
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.71726547,30.25706987
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.73580458,30.2586854
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.73057811,30.26842833
78735,Foundation Communities,Multifamily,-97.88724303,30.25122411
78704,Easter Seals of Central Texas,Multifamily,-97.78266876,30.24027574
78745,Green Doors,Single Family,-97.79420218,30.20138457
78744,Green Doors,Single Family,-97.74598478,30.19478667
78745,Green Doors,Single Family,-97.79082191,30.19504682
78704,Green Doors,Single Family,-97.76324138,30.24261575
78745,Green Doors,Single Family,-97.78944399,30.18569319
78744,Green Doors,Single Family,-97.75870203,30.19322232
78744,Green Doors,Single Family,-97.73381984,30.19275255
78702,Green Doors,Duplex,-97.71005882,30.26846974
78702,Green Doors,Duplex,-97.71023674,30.26860702
78702,Green Doors,Single Family,-97.71035687,30.26871633
78702,Green Doors,Single Family,-97.7104858,30.26885049
78723,Green Doors,Multifamily,-97.67995127,30.30492714
78723,Green Doors,FourPlex,-97.67902669,30.30515003
78723,Green Doors,FourPlex,-97.67907638,30.30536009
78723,Green Doors,FourPlex,-97.67995095,30.30511141
78723,Green Doors,FourPlex,-97.67984055,30.3052934
78723,Green Doors,FourPlex,-97.67900608,30.30489107
78723,Green Doors,FourPlex,-97.67891099,30.3055822
78704,Green Doors,Multifamily,-97.78439421,30.23658891
78723,Green Doors,FourPlex,-97.67916116,30.30478426
78723,Green Doors,FourPlex,-97.67886233,30.30573796
78723,Green Doors,FourPlex,-97.67955792,30.30476498
78705,The College Houses,Multifamily,-97.74383608,30.28301798
78723,PRAK Property Management,Multifamily,-97.6972034,30.28413274
78721,Lincoln Property Company,Multifamily,-97.66646717,30.27772032
78702,Blackshear Neighborhood Development Corportation,Single Family,-97.71634938,30.26709461
78702,Blackshear Neighborhood Development Corportation,Single Family,-97.71623872,30.26723972
78702,Blackshear Neighborhood Development Corportation,Single Family,-97.71430575,30.26480387
78702,Blackshear Neighborhood Development Corportation,Single Family,-97.72100129,30.26391813
78702,Blackshear Neighborhood Development Corportation,Duplex,-97.72613994,30.26921179
78722,Blackland Community Development Corporation,Single Family,-97.72194920000001,30.282139299999997
78722,Blackland Community Development Corporation,Duplex,-97.723113,30.27991322
78722,Blackland Community Development Corporation,Single Family,-97.72184558,30.28002492
78722,Blackland Community Development Corporation,Single Family,-97.72262411,30.28253519
78722,Blackland Community Development Corporation,Duplex,-97.72241774,30.282563300000003
78722,Blackland Community Development Corporation,Single Family,-97.72259173,30.28239544
78722,Blackland Community Development Corporation,Single Family,-97.72255917,30.28208674
78722,Blackland Community Development Corporation,Multifamily,-97.72228345,30.28139533
78722,Blackland Community Development Corporation,Single Family,-97.72303482,30.28236494
78722,Blackland Community Development Corporation,Multifamily,-97.72197609999999,30.28050064
78722,Blackland Community Development Corporation,Single Family,-97.71805463,30.2830115
78723,Austin's Children Shelter,Multifamily,-97.68906793,30.29563891
78757,Austin Travis County Integral Care,Multifamily,-97.72350971,30.33122925
78721,Austin Travis County Integral Care,Multifamily,-97.73574557,30.27559883
78758,Accessible Housing Austin!,Single Family,-97.70164239,30.39517141
78753,TMG Management,Multifamily,-97.70433045,30.35465331
78704,Mary Lee Foundation,Multifamily,-97.76420276,30.25473096
78741,Capstone Management,Multifamily,-97.74342133,30.21848555
78702,Alpha Barnes Real Estate Services,Multifamily,-97.70918934,30.26457934
78702,LEDIC Realty Company,Multifamily,-97.72483049,30.27270376
78702,LEDIC Realty Company,Multifamily,-97.70241945,30.27488959
78757,Platinum Realty,Multifamily,-97.73569365,30.35421938
78745,Saint Louise House,Multifamily,-97.80393149999999,30.21093638
78723,Volunteers of America,Multifamily,-97.67940861,30.30660038
78702,Volunteers of America,Multifamily,-97.70126065,30.27269913
78752,Foundation Communities,Multifamily,-97.70318001,30.33149071
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.72934019,30.26843907
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.72826475,30.26820529
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.72672043,30.26771857
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.7292821,30.26864625
78702,Guadalupe Neighborhood Development Corporation,Single Family,-97.72453329,30.25794518
78702,Guadalupe Neighborhood Development Corporation,Multifamily,-97.73300722,30.26711898
78721,Guadalupe Neighborhood Development Corporation,Single Family,-97.68478859999999,30.25864212
78721,Guadalupe Neighborhood Development Corporation,Single Family,-97.68465943,30.25812818
78721,Guadalupe Neighborhood Development Corporation,Single Family,-97.68419071,30.25913316
78721,Guadalupe Neighborhood Development Corporation,Single Family,-97.68412944,30.25863047
78702,Guadalupe Neighborhood Development Corporation,Duplex,-97.71731982,30.27039712
78752,Other,Duplex,-97.69525635,30.33148715
78758,Other,Multifamily,-97.68500093,30.35940944
78745,Merge Management,Multifamily,-97.77253293,30.20067619
78748,Accessible Housing Austin!,Duplex,-97.82150199,30.18065235
78722,Blackland Community Development Corporation,Single Family,-97.72201073,30.28241284
78722,Blackland Community Development Corporation,Duplex,-97.72181588,30.28115196
78702,Other,Single Family,-97.71818467,30.26281963
78704,Foundation Communities,Multifamily,-97.77817812,30.22823613
78748,Foundation Communities,Multifamily,-97.84472009,30.18153209
78701,Foundation Communities,Multifamily,-97.73808578,30.27175218
78704,Foundation Communities,Multifamily,-97.77551651,30.24698735
78717,Foundation Communities,Multifamily,-97.78034499,30.47625308
78735,Foundation Communities,Multifamily,-97.89008216,30.24855938
78750,Frameworks Community Development Corporation,Single Family,-97.80172791,30.460423
78758,Frameworks Community Development Corporation,Duplex,-97.69786173,30.40679119
78745,Frameworks Community Development Corporation,FourPlex,-97.80338524,30.22744113
78745,Frameworks Community Development Corporation,FourPlex,-97.80299658,30.227950500000002
78745,Frameworks Community Development Corporation,FourPlex,-97.80327228,30.22764242
78702,Lifeworks,Multifamily,-97.70740009,30.26397344
78704,Dominium Management,Multifamily,-97.7562608,30.24222247
78704,Other,Multifamily,-97.75296898,30.225766999999998
78741,Other,Multifamily,-97.70116657,30.227718300000003
78745,M3 Multifamily,Multifamily,-97.7926596,30.22196473
78745,M3 Multifamily,Multifamily,-97.71337403,30.30116934
78723,Foundation Communities,Multifamily,-97.68008999,30.32161385
78759,Housing Authority of the City of Austin,Multifamily,-97.75509,30.421089000000002
78756,Burlington Ventures,Multifamily,-97.73296995,30.32693838
78721,Other,Duplex,-97.687279,30.259234000000003
78721,Other,Duplex,-97.687285,30.259463
78741,Capstone Management,Multifamily,-97.70358301,30.21631803
78741,Capstone Management,Multifamily,-97.70117385,30.21586125
78727,Pedcor Management Corporation,Multifamily,-97.65173237,30.39047199
78744,Pedcor Management Company,Multifamily,-97.7613179,30.18786679
